OBJID;BEGDA;ENDDA;STEXT
2850;01.01.2004;01.09.2006;Бригада обсл.усил.пункт. БАЛАЙ-СОРОКИНО
2851;01.01.2004;01.09.2006;ЛАЗ ст. УЯР
2852;01.01.2004;01.09.2006;ЛАЗ ст. ЗЛОБИНО
2853;01.01.2004;01.09.2006;Кабельная летучка
2876;01.01.2004;01.09.2006;Бригада обсл.линий местн. связи УЯР
2877;01.01.2004;01.09.2006;КИП связи УЯР
2878;01.01.2004;01.09.2006;Бригада обсл.станц.р/св КАМАЛА-ЗЫКОВО
2879;01.01.2004;01.09.2006;Бригада обсл.ус.пункт.ГРОМАДСКАЯ-КАМАЛА
2880;01.01.2004;01.09.2006;Автотранспортный цех
2881;01.01.2004;31.07.2007;Руководство
2882;01.01.2004;30.04.2010;ПОНАБ (Красноярск-Кемчуг)
2882;01.05.2010;31.05.2011;КТСМ Красноярск-Кемчуг
2883;01.01.2004;30.04.2010;ПОНАБ (Козулька - Кемчуг)
2883;01.05.2010;30.06.2011;КТСМ Козулька - Кемчуг
2884;01.01.2004;01.04.2007;ПОНАБ (Енисей-Камарчага)
2885;01.01.2004;01.04.2007;ПОНАБ (Уяр - Заозерная)
2886;01.01.2004;30.06.2005;Дорожный ДК
2887;01.01.2004;31.03.2011;Бригада надежности (ДК)
2888;01.01.2004;14.07.2011;Дорожная лаборатория
2889;01.01.2004;31.03.2011;СПДЛП
2890;01.01.2004;14.07.2011;Дистанционные мастерские
2891;01.01.2004;02.04.2007;ЭЦ ст. Бугач
2892;01.01.2004;31.05.2011;ЭЦ ст. Красноярск
2893;01.01.2004;14.07.2011;ЭЦ ст. Красноярск-Северный
2894;01.01.2004;14.07.2011;ЭЦ ст. Красноярск (восток)
2895;01.01.2004;30.06.2011;ЭЦ ст. Красноярск (запад)
2896;01.01.2004;14.07.2011;АБ Зеледеево-Снежница
2897;01.01.2004;30.06.2011;АБ Косачи-Козулька-Кемчуг
2898;01.01.2004;30.04.2006;АБ Чернореченская-Малиногорка
2900;01.01.2004;02.04.2007;Группа надежности
2901;01.01.2004;30.06.2011;Бригада механизации и автотранспорта
2902;01.01.2004;01.04.2007;Цех по ремонту приборов СЦБ ст.Уяр
2903;01.01.2004;01.04.2007;УВК сортировочной горки
2906;01.01.2004;01.04.2007;Мастерские мех.горки
2907;01.01.2004;01.04.2007;ГАЦ
2908;01.01.2004;01.04.2007;ЭЦ ст.Заозерная-Камала
2909;01.01.2004;01.04.2007;Бригада компрессорной установки
2910;01.01.2004;01.04.2007;ЭЦ ст.Буйная
2911;01.01.2004;14.07.2011;ЭЦ ст.Енисей
2912;01.01.2004;01.04.2007;ЭЦ ст.Уяр-Заозерная
2913;01.01.2004;30.06.2011;ЭЦ ст.Злобино
2914;01.01.2004;01.04.2007;ЭЦ1 ст.Красноярск-Восточный
2915;01.01.2004;30.06.2011;ЭЦ ст.Базаиха
2916;01.01.2004;01.04.2007;АБ Балай-Таежный
2917;01.01.2004;01.04.2007;ЭЦ2 ст.Красноярск-Восточный
2918;01.01.2004;02.04.2007;КИП ст.Злобино
2919;01.01.2004;01.04.2007;КИП ст.Уяр
2920;01.01.2004;01.01.2006;Группа надежности
2921;01.01.2004;14.07.2011;КИП ст.Красноярск
2922;01.01.2004;01.09.2006;АУП
2923;01.01.2004;01.09.2006;Бригада обсл.маг.каб.СНЕЖНИЦА-КРСК СЕВ.
3619;01.10.2003;31.12.2008;Трансэнерго
3619;01.01.2009;31.12.9999;Трансэнерго
3620;01.10.2003;30.09.2011;Рефсервис
3622;01.10.2003;01.01.2006;"Институт тех-эк.изысканий ""Гипротранстэи"
3623;01.10.2003;01.01.2006;Центральная науч-тех.библиотека
3624;01.10.2003;01.01.2006;Центр орг.труда и проектир. эконом. норм
3627;01.10.2003;01.01.2006;"Институт ""Гипротранссигналсвяэь"""
3628;01.10.2003;01.01.2006;"""Сибгипротранспуть"""
3629;01.10.2003;01.01.2006;"""Гипротранспуть"""
3630;01.10.2003;01.01.2006;"""Сибжелдорпроект"""
3642;01.10.2003;01.01.2006;"""Красноярскжелдорпроект"""
3647;01.10.2003;01.01.2006;"""Трансэлектропроект"""
3648;01.10.2003;01.01.2006;Дирекция по компл.реконстр.ж.д. и стр.об
3649;01.10.2003;31.12.2006;Дирекция по строит.объект.ж.д.транспорта
3650;01.10.2003;31.12.2006;Дирекция по стр.объект.ж.д.трансп.Юга Ро
3656;01.10.2003;01.01.2010;Красноярский эл-ваг-рем.завод
3688;01.10.2003;01.01.2010;Опытный завод пут.машин
3689;01.10.2003;01.01.2010;"Эксп.завод ""Металлист"""
3694;01.10.2003;01.01.2006;Центр обслед.и диагност.инж.сооружений
3704;01.10.2003;01.01.2006;ПКБ по электрифик. Ж.д.
3705;01.10.2003;31.12.9999;ГВЦ
3706;01.10.2003;31.12.9999;ЦСС
3707;01.10.2003;01.01.2006;НПЦ по охране окруж. среды
3708;01.10.2003;01.01.2006;АХУ
3709;01.10.2003;01.07.2007;Дирекция мед-тех и фарм.обеспечения
3710;01.10.2003;01.01.2006;ПКБ локомот. хоз-ва
3711;01.10.2003;01.01.2006;ПКБ вагонного хоз-ва
3712;01.10.2003;01.01.2010;ПКТБ по локомотивам
3713;01.10.2003;01.01.2006;ПКБ пассажир. хоз-ва
3715;01.10.2003;01.01.2006;"НТЦ ""Вагон-Тормоз"""
3716;01.10.2003;31.05.2012;Федеральная пассажирская дирекция
3719;01.10.2003;01.04.2008;Дирекция медицинских учреждений
3720;01.10.2003;01.07.2008;Дирекция оздоровительных учреждений
3729;01.10.2003;01.07.2009;"Центр ""Трансконтейнер"""
3730;01.10.2003;01.01.2006;СМТ №4
3731;01.10.2003;01.01.2006;СМТ №3
3732;01.10.2003;01.01.2006;"""Спецмостотрест"""
3733;01.10.2003;01.01.2006;СМТ №5
3734;01.10.2003;01.01.2006;СМТ №6
3735;01.10.2003;01.01.2006;СМТ №7
3736;01.10.2003;01.01.2006;СМТ №8
3737;01.10.2003;01.01.2006;СМТ № 9
3738;01.10.2003;01.01.2006;СМТ №10
3739;01.10.2003;01.01.2006;СМТ №11
3740;01.10.2003;01.01.2008;СМТ №12
3741;01.10.2003;01.01.2006;СМТ №13
3742;01.10.2003;01.01.2006;СМТ №14
3743;01.10.2003;01.01.2006;СМТ №15
3744;01.10.2003;01.01.2006;СМТ №16
3745;01.10.2003;01.01.2006;СМТ №2
3746;01.10.2003;01.01.2006;СМТ №17
3747;01.10.2003;01.01.2006;"СМТ ""Желдортрест"""
3754;01.10.2003;01.04.2009;Красноярский ДЦРС
3764;01.10.2003;01.07.2009;Трансконтейнер
3765;01.10.2003;01.01.2006;СМТ-4
3766;01.10.2003;01.01.2006;СМТ № 3
3767;01.10.2003;01.01.2006;Спецмостотрест
3768;01.10.2003;01.01.2006;СМТ №5
3769;01.10.2003;01.01.2006;СМТ-6
3770;01.10.2003;01.01.2006;СМТ-7
3771;01.10.2003;01.01.2006;СМТ №8
3772;01.10.2003;01.01.2006;СМТ № 9
3773;01.10.2003;01.01.2006;СМТ № 10
3774;01.10.2003;01.01.2006;СМТ-11
3775;01.10.2003;01.01.2008;СМТ-12
3776;01.10.2003;01.01.2006;СМТ-13
3777;01.10.2003;01.01.2006;СМТ №14
3778;01.10.2003;01.01.2006;СМТ-15
3779;01.10.2003;01.01.2006;СМТ-16
3780;01.10.2003;01.01.2006;СМТ №2
3781;01.10.2003;01.01.2006;СМТ-17
3782;01.10.2003;01.01.2006;Желдортрест
3789;01.10.2003;01.04.2009;ДЦРС
3799;01.10.2003;01.01.2006;СМП-624
3800;01.10.2003;01.01.2006;СМП-753
3801;01.10.2003;01.01.2006;ЭМП
3802;01.10.2003;01.01.2006;ЖБК
3803;01.10.2003;01.01.2006;ДОК
3804;01.10.2003;01.01.2006;СМП-743
3805;01.10.2003;01.01.2006;СМП-175
3806;01.10.2003;01.01.2006;МСП-5
3807;01.10.2003;01.01.2006;МСП-12
3808;01.10.2003;01.01.2006;СМП-182
3829;01.10.2003;01.07.2009;Трансконтейнер
3831;01.10.2003;01.01.2006;СМП 386
3832;01.10.2003;01.01.2006;СМП 769
3833;01.10.2003;01.01.2006;ЦЭиР Свердловск
3834;01.10.2003;01.01.2006;Автобаза Свердл
3835;01.10.2003;01.01.2006;Автобаза Пермь
3836;01.10.2003;01.01.2006;ЦЭиР Пермь
3837;01.10.2003;01.01.2006;ВЖБК
3838;01.10.2003;01.01.2006;Автобаза Тюмень
3839;01.10.2003;01.01.2006;МО-7
3840;01.10.2003;01.01.2006;СМП-679
3841;01.10.2003;01.01.2006;СМП- 695
3842;01.10.2003;01.01.2006;СМП-614
3843;01.10.2003;01.01.2006;СУ-3
3844;01.10.2003;01.01.2006;СУ-4
3845;01.10.2003;01.01.2006;СМП-677
3846;01.10.2003;01.01.2006;СМП-389
3847;01.10.2003;01.01.2006;СМП-629
3848;01.10.2003;01.01.2006;МСП-6
3849;01.10.2003;01.01.2006;ЖБКиСД
3850;01.10.2003;01.01.2006;ЖБК и СД
3851;01.10.2003;01.01.2006;СМП-601
3852;01.10.2003;01.01.2006;СМП-752
3853;01.10.2003;01.01.2006;СМП-107
3854;01.10.2003;01.01.2006;СМП-665
3855;01.10.2003;01.01.2006;СМТ-352
3856;01.10.2003;01.01.2006;ДОЗ
3857;01.10.2003;01.01.2006;СМП-609
3858;01.10.2003;01.01.2006;СМП-174
3859;01.10.2003;01.01.2006;СМП-177
3860;01.10.2003;01.01.2006;КПП-1
3861;01.10.2003;01.01.2006;СМП-618
3862;01.10.2003;01.01.2006;СПМ-621
3863;01.10.2003;01.01.2006;МСП-58
3864;01.10.2003;01.01.2006;СМП-757
3865;01.10.2003;01.01.2006;СМП-754
3866;01.10.2003;01.01.2006;СМП-261
3867;01.10.2003;01.01.2006;ПМС-206
3869;01.10.2003;01.01.2006;МСП-16
3871;01.10.2003;01.01.2006;БПТК
3886;01.10.2003;01.01.2006;СМП 380
3887;01.10.2003;01.01.2006;СМП 675
3888;01.10.2003;01.01.2006;СМП 676
3889;01.10.2003;01.01.2006;СМП 700
3890;01.10.2003;01.01.2006;ЭП 1
3891;01.10.2003;01.01.2006;СМП по СЦБ
3892;01.10.2003;01.01.2006;ЖБК и СД ст.Щур
3893;01.10.2003;01.01.2006;ЖБК и СД ст.Фая
3894;01.10.2003;01.01.2006;СМП 747
3895;01.10.2003;01.01.2006;СМП 745
3896;01.10.2003;01.01.2006;СМП 714
3897;01.10.2003;01.01.2006;СМП 733
3898;01.10.2003;01.01.2006;ЭМНУ 9
3899;01.10.2003;01.01.2006;"""ПСУ ""Коренево"""
3902;01.10.2003;01.01.2006;СМП-797
3903;01.10.2003;01.01.2006;СМП-798
3904;01.10.2003;01.01.2006;СМП-799
3905;01.10.2003;01.01.2006;ССМП-668
3906;01.10.2003;01.01.2006;ЭМП-666
3907;01.10.2003;01.01.2006;ТМО-1
3908;01.10.2003;01.01.2006;МСП-7
3909;01.10.2003;01.01.2006;ПМС-329
3910;01.10.2003;01.01.2006;БЗСК
3911;01.10.2003;01.01.2006;ЖБИ-Беслан
